id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;LONG_X_4326_CENTROID;LAT_Y_4326_CENTROID;Location
"11020";"7222";VIA GIUSEPPE GOVONE;;urbana;promiscuo pedoni;sottopasso;bidirezionale;percorso promiscuo - pedonale e ciclabile;"63";9.16057423881208;45.4943233021317;"(45.4943233021317, 9.16057423881208)"
"11023";"2718";VIA UGO TOGNAZZI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"8";9.24222054115151;45.5128353498117;"(45.5128353498117, 9.24222054115151)"
"11024";"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"65";9.19827508529444;45.4874020993409;"(45.4874020993409, 9.19827508529444)"
"11025";"6624";VIA NOVARA;;ciclabile;ciclabile segnaletica;passerella;bidirezionale;corsia ciclabile;"175";9.10218112664809;45.4797261751463;"(45.4797261751463, 9.10218112664809)"
"11026";"6302";VIA CALDERA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"16";9.09633133434239;45.4762471365308;"(45.4762471365308, 9.09633133434239)"
"11027";"6349";VIA LUCA DELLA ROBBIA;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"71";9.15991263724315;45.472573848932;"(45.472573848932, 9.15991263724315)"
"11028";"2324";VIA  ANTONIO SANT'ELIA;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"43";9.12996390871233;45.4926806259743;"(45.4926806259743, 9.12996390871233)"
"11029";"6359";VIALE CASSIODORO;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"15";9.15944117794212;45.4732110403103;"(45.4732110403103, 9.15944117794212)"
"11030";"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"86";9.20083741096515;45.4891904584751;"(45.4891904584751, 9.20083741096515)"
"11031";"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"36";9.19580621038279;45.4845410649903;"(45.4845410649903, 9.19580621038279)"
"11032";"5450";CAVALCAVIA DON LORENZO MILANI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"361";9.14511036418739;45.4470934403934;"(45.4470934403934, 9.14511036418739)"
"11035";"7271";SOTTOPASSO VILLAPIZZONE - LAMBRUSCHINI - FUSINATO;;urbana;promiscuo pedoni;sottopasso;bidirezionale;non regolamentato;"143";9.15015130858996;45.5024555397455;"(45.5024555397455, 9.15015130858996)"
"11036";"3117";PIAZZA RISORGIMENTO;;ciclabile;ciclabile sede propria;parterre;monodirezionale - concorde;corsia ciclabile;"6";9.21024779825358;45.4679264927932;"(45.4679264927932, 9.21024779825358)"
"11037";"2358";VIA LUIGI BERTELLI;;ciclabile;ciclabile segnaletica;carreggiata;bidirezionale;corsia ciclabile;"122";9.22312775953221;45.5038988614582;"(45.5038988614582, 9.22312775953221)"
"11039";"2717";VIA VITTORIO GASSMAN;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"44";9.23668632600785;45.5129050978322;"(45.5129050978322, 9.23668632600785)"
"11040";"5377";VIA PIETRO GIORDANI;;ciclabile;ciclabile sede propria;marciapiede;bidirezionale;corsia ciclabile;"290";9.12304154383637;45.4440560762699;"(45.4440560762699, 9.12304154383637)"
"11043";"1413";VIA TIRANO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;percorso promiscuo - pedonale e ciclabile;"199";9.21057098087597;45.4978570695984;"(45.4978570695984, 9.21057098087597)"
"11044";"2645";VIA ROBERTO TREMELLONI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"13";9.22974417416034;45.5141354231164;"(45.5141354231164, 9.22974417416034)"
"11047";"1007";PIAZZA LUIGI EINAUDI;;ciclabile;ciclabile sede propria;parco o area verde;bidirezionale;corsia ciclabile;"27";9.195201439237;45.4836793129596;"(45.4836793129596, 9.195201439237)"
"11051";"1731";VIALE DELL'INNOVAZIONE;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"16";9.21006337494885;45.5094875322321;"(45.5094875322321, 9.21006337494885)"
"11052";"3323";VIA MECENATE;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"206";9.24670733020229;45.453688191184;"(45.453688191184, 9.24670733020229)"
"11054";"7271";SOTTOPASSO VILLAPIZZONE - LAMBRUSCHINI - FUSINATO;;urbana;promiscuo pedoni;sottopasso;bidirezionale;non regolamentato;"176";9.14855314794456;45.5019182515949;"(45.5019182515949, 9.14855314794456)"
"11055";"1108";VIA MELCHIORRE GIOIA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"27";9.1958688545048;45.4842778425451;"(45.4842778425451, 9.1958688545048)"
"11056";"1088";VIALE ENRICO FERMI;;ciclabile;ciclabile sede propria;margine;bidirezionale;corsia ciclabile;"43";9.18348920673319;45.5054144917475;"(45.5054144917475, 9.18348920673319)"
"11057";"6891";VIA LIVIO CAMBI;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"60";9.12428308673428;45.4903694542248;"(45.4903694542248, 9.12428308673428)"
"11058";"1313";VIA BENIGNO CRESPI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"7";9.18488051067778;45.5029391745279;"(45.5029391745279, 9.18488051067778)"
"11059";"6388";VIA MONTE ROSA;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"15";9.14975688209328;45.4745326205299;"(45.4745326205299, 9.14975688209328)"
"11060";;PASSERELLA VIA CONCILIO VATICANO II - VIA CASCINA DEI PRATI;;urbana;promiscuo pedoni;passerella;bidirezionale;non regolamentato;"147";9.15048839345962;45.5138098678989;"(45.5138098678989, 9.15048839345962)"
"11062";"6174";VIA VENTI SETTEMBRE;;ciclabile;ciclabile sede propria;parterre;monodirezionale - concorde;corsia ciclabile;"41";9.17067836208485;45.470196766965;"(45.470196766965, 9.17067836208485)"
"11063";"6174";VIA VENTI SETTEMBRE;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"13";9.16748479980471;45.4683849295218;"(45.4683849295218, 9.16748479980471)"
"11064";"6291";VIA DOMENICO CIMAROSA;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"14";9.15857189093546;45.4652682576342;"(45.4652682576342, 9.15857189093546)"
"11065";"6187";VIA GIORGIO PALLAVICINO;;urbana;promiscuo pedoni;carreggiata;bidirezionale;percorso promiscuo - pedonale e ciclabile;"116";9.16069543037329;45.4689620411669;"(45.4689620411669, 9.16069543037329)"
"11068";"6361";PIAZZALE GIULIO CESARE;;ciclabile;ciclabile sede propria;parterre;bidirezionale;corsia ciclabile;"19";9.15735804999069;45.4733692078135;"(45.4733692078135, 9.15735804999069)"
"11069";"3220";VIA LAURA CICERI VISCONTI;;ciclabile;ciclabile sede propria;marciapiede;monodirezionale - concorde;corsia ciclabile;"243";9.2202604332672;45.4547285495309;"(45.4547285495309, 9.2202604332672)"
"11070";"1088";VIALE ENRICO FERMI;;ciclabile;ciclabile sede propria;margine;bidirezionale;corsia ciclabile;"78";9.18387378360737;45.5048779780885;"(45.5048779780885, 9.18387378360737)"
"11071";;PASSERELLA VIA CONCILIO VATICANO II - VIA CASCINA DEI PRATI;;urbana;promiscuo pedoni;passerella;bidirezionale;non regolamentato;"65";9.14968376897943;45.5140476078124;"(45.5140476078124, 9.14968376897943)"
"11073";"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;marciapiede;monodirezionale - concorde;corsia ciclabile;"27";9.17374723948336;45.4627324457635;"(45.4627324457635, 9.17374723948336)"
"11074";"7451";VIA FILIPPO PALIZZI;;ciclabile;ciclabile sede propria;ponte;bidirezionale;corsia ciclabile;"198";9.14119957447212;45.5041839713159;"(45.5041839713159, 9.14119957447212)"
"11077";"3323";VIA MECENATE;;ciclabile;ciclabile sede propria;carreggiata;bidirezionale;corsia ciclabile;"154";9.2450346213435;45.4549145160448;"(45.4549145160448, 9.2450346213435)"
"11078";"5353";VIALE FAMAGOSTA;;urbana;promiscuo pedoni;sottopasso;bidirezionale;non regolamentato;"59";9.16983779800003;45.4373479745708;"(45.4373479745708, 9.16983779800003)"
"11079";"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"37";9.17346983596227;45.4621048684723;"(45.4621048684723, 9.17346983596227)"
"11080";"2158";VIA GIOVANNI BATTISTA MORGAGNI;;ciclabile;ciclabile segnaletica;attraversamento;bidirezionale;attraversamento - ciclabile;"14";9.21177599847451;45.4779500366397;"(45.4779500366397, 9.21177599847451)"
"11081";"602";VIA GIOSUE' CARDUCCI;;ciclabile;ciclabile segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;"16";9.17366210323478;45.4625498126297;"(45.4625498126297, 9.17366210323478)"
"11082";"5111";VIA ANDREA SOLARI;;ciclabile;ciclabile sede propria;carreggiata;monodirezionale - concorde;corsia ciclabile;"49";9.16845763940922;45.457372008221;"(45.457372008221, 9.16845763940922)"
"11083";"2106";BASTIONI DI PORTA VENEZIA;;ciclabile;ciclabile segnaletica;attraversamento;monodirezionale - concorde;attraversamento - ciclabile con lanterna bici;"21";9.20469831040863;45.4740838311206;"(45.4740838311206, 9.20469831040863)"
